ZTFID,n_raw,n_clean,n_removed,ref_band,t_peak_mjd,win_lo,win_hi,n_g,n_r,corroborated,verdict,reason
ZTF20abdnpdo,23,0,,,,,,,,,insufficient,<3 pts in every band
ZTF20abefbpl,154,48,106.0,r,59024.25,59009.2,59069.2,20.0,28.0,True,ok,good for colour
ZTF20abhlncz,278,102,176.0,r,59038.54,59015.3,59117.1,45.0,57.0,True,ok,good for colour
ZTF20abjpvce,89,27,62.0,r,59053.26,59036.3,59066.2,12.0,15.0,True,ok,good for colour
ZTF20abkiarz,204,114,90.0,r,59042.75,59031.4,59144.2,63.0,51.0,True,ok,good for colour
ZTF20abobpcb,1183,108,1075.0,g,59138.83,59053.4,59188.1,55.0,53.0,True,ok,good for colour
ZTF20aborzxc,141,24,117.0,r,59110.59,59090.5,59136.3,6.0,18.0,True,ok,good for colour
ZTF20abpuwxl,323,92,231.0,g,59116.46,59084.4,59203.8,45.0,47.0,True,ok,good for colour
ZTF20abqdkne,163,69,94.0,r,59076.86,59064.4,59134.3,25.0,44.0,True,ok,good for colour
ZTF20abrcnbr,27,10,17.0,g,59071.48,59071.5,59080.5,7.0,3.0,True,insufficient,"ref g: 7 epochs, bracketed=False"
ZTF20abrmmah,66,10,56.0,r,59086.23,59073.4,59111.3,4.0,6.0,True,ok,good for colour
ZTF20abswdbg,385,137,248.0,r,59092.11,59072.5,59220.2,57.0,80.0,True,ok,good for colour
ZTF20abtkjfw,92,30,62.0,r,59088.8,59077.5,59164.3,10.0,20.0,True,ok,good for colour
ZTF20abusrwm,101,37,64.0,r,59099.27,59081.4,59169.3,10.0,27.0,True,ok,good for colour
ZTF20abvquuo,142,46,96.0,r,59098.64,59082.5,59173.2,16.0,30.0,True,ok,good for colour
ZTF20abvvnqh,107,32,75.0,r,59100.09,59081.4,59141.2,13.0,19.0,True,ok,good for colour
ZTF20abwxywy,306,119,187.0,r,59101.68,59087.4,59220.1,49.0,70.0,True,ok,good for colour
ZTF20abxpoxd,1467,293,1174.0,r,59127.51,59088.4,59321.1,123.0,170.0,True,ok,good for colour
ZTF20abysxbk,48,4,44.0,r,59111.24,59111.2,59129.1,1.0,3.0,True,insufficient,"ref r: 3 epochs, bracketed=False"
ZTF20abywsut,105,36,69.0,r,59115.31,59102.4,59144.2,16.0,20.0,True,ok,good for colour
ZTF20abzjcdg,83,20,63.0,g,59115.31,59107.3,59165.2,6.0,14.0,True,ok,good for colour
ZTF20abzoeiw,143,33,110.0,r,59119.14,59111.2,59173.1,17.0,16.0,True,ok,good for colour
ZTF20accbsxa,52,24,28.0,r,59125.41,59113.3,59145.2,11.0,13.0,True,ok,good for colour
ZTF20acfqngt,117,47,70.0,r,59140.11,59120.5,59232.3,14.0,33.0,True,ok,good for colour
ZTF20achvlbs,56,36,20.0,g,59139.77,59130.5,59163.2,16.0,20.0,True,ok,good for colour
ZTF20acjbzrh,71,19,52.0,r,59151.55,59136.3,59176.3,4.0,15.0,True,ok,good for colour
ZTF20aclnplo,152,28,124.0,r,59156.0,59142.5,59198.5,10.0,18.0,True,ok,good for colour
ZTF20acphdcg,2431,302,2129.0,g,59230.6,59163.4,59335.2,149.0,153.0,True,ok,good for colour
ZTF20acpjqxp,463,55,408.0,r,59180.08,59164.2,59251.1,24.0,31.0,True,ok,good for colour
ZTF20acpyldh,669,148,521.0,g,59283.73,59165.5,59344.2,71.0,77.0,True,ok,good for colour
ZTF20acpzaoa,37,10,27.0,r,59170.81,59168.5,59184.5,6.0,4.0,True,insufficient,"ref r: 4 epochs, bracketed=True"
ZTF20actekrw,215,55,160.0,r,59192.57,59176.3,59226.2,20.0,35.0,True,ok,good for colour
ZTF20actpqgc,308,78,230.0,r,59200.07,59178.2,59276.1,31.0,47.0,True,ok,good for colour
ZTF20acueziy,144,25,119.0,r,59193.55,59182.1,59229.1,10.0,15.0,True,ok,good for colour
ZTF20acvcxkz,420,131,289.0,r,59199.64,59185.4,59234.5,50.0,81.0,True,ok,good for colour
ZTF20acvebcu,160,56,104.0,r,59205.37,59188.4,59307.2,20.0,36.0,True,ok,good for colour
ZTF20acvmzfv,139,30,109.0,r,59202.69,59190.2,59255.1,9.0,21.0,True,ok,good for colour
ZTF20acwofhd,543,144,399.0,r,59206.47,59193.4,59356.3,39.0,105.0,True,ok,good for colour
ZTF20acxqxyw,106,36,70.0,r,59215.86,59198.4,59265.3,8.0,28.0,True,ok,good for colour
ZTF20adadrhw,895,158,737.0,r,59219.38,59210.4,59348.2,68.0,90.0,True,ok,good for colour
ZTF21aaaosoq,205,60,145.0,r,59221.53,59221.5,59349.3,20.0,40.0,True,insufficient,"ref r: 40 epochs, bracketed=False"
ZTF21aaarmti,213,38,175.0,g,59236.17,59218.2,59260.1,20.0,18.0,True,ok,good for colour
ZTF21aaaubig,440,144,296.0,r,59229.24,59216.4,59363.2,69.0,75.0,True,ok,good for colour
ZTF21aacufip,213,45,168.0,r,59233.11,59226.5,59317.4,18.0,27.0,True,ok,good for colour
ZTF21aagpymw,786,115,671.0,g,59262.34,59248.4,59369.2,56.0,59.0,True,ok,good for colour
ZTF21aagtpro,562,87,475.0,r,59268.46,59268.5,59438.2,35.0,52.0,True,insufficient,"ref r: 52 epochs, bracketed=False"
ZTF21aahdqrg,189,26,163.0,r,59261.1,59250.4,59312.3,11.0,15.0,True,ok,good for colour
ZTF21aalhgqi,106,19,87.0,r,59275.26,59262.3,59317.2,5.0,14.0,True,ok,good for colour
ZTF21aalhtgv,256,48,208.0,r,59307.33,59262.4,59363.2,25.0,23.0,True,ok,good for colour
ZTF21aannoix,198,44,154.0,r,59293.04,59272.5,59370.3,17.0,27.0,True,ok,good for colour
ZTF21aanvncv,504,87,417.0,r,59291.04,59275.3,59387.2,26.0,61.0,True,ok,good for colour
ZTF21aaocrlm,146,28,118.0,r,59292.81,59275.2,59335.2,9.0,19.0,True,ok,good for colour
ZTF21aapecxb,52,15,37.0,r,59290.24,59290.2,59317.2,5.0,10.0,True,insufficient,"ref r: 10 epochs, bracketed=False"
ZTF21aaqhhfu,460,54,406.0,r,59307.12,59293.9,59376.3,19.0,35.0,True,ok,good for colour
ZTF21aaqldsk,798,130,668.0,r,59312.41,59294.3,59377.3,44.0,86.0,True,ok,good for colour
ZTF21aaqwfqe,422,103,319.0,r,59312.59,59298.4,59379.2,38.0,65.0,True,ok,good for colour
ZTF21aarmuxl,97,28,69.0,r,59314.81,59304.2,59344.2,12.0,16.0,True,ok,good for colour
ZTF21aarnjyd,947,132,815.0,r,59341.18,59303.3,59375.2,64.0,68.0,True,ok,good for colour
ZTF21aartgiv,142,21,121.0,r,59319.88,59309.2,59346.2,10.0,11.0,True,ok,good for colour
ZTF21aaufwyh,157,21,136.0,r,59336.98,59322.2,59365.2,9.0,12.0,True,ok,good for colour
ZTF21aavdqgf,410,78,332.0,g,59336.6,59317.3,59435.3,39.0,39.0,True,ok,good for colour
ZTF21aawogdl,270,54,216.0,r,59335.58,59323.4,59370.3,21.0,33.0,True,ok,good for colour
ZTF21aaxtctv,353,37,316.0,r,59354.76,59334.3,59396.2,16.0,21.0,True,ok,good for colour
ZTF21aaxxihx,119,22,97.0,r,59347.1,59335.2,59373.2,8.0,14.0,True,ok,good for colour
ZTF21aayqrgx,259,34,225.0,r,59348.76,59338.4,59379.4,12.0,22.0,True,ok,good for colour
ZTF21abahiow,361,62,299.0,r,59359.24,59341.4,59436.2,22.0,40.0,True,ok,good for colour
ZTF21abbqeea,547,82,465.0,r,59394.93,59349.3,59473.2,39.0,43.0,True,ok,good for colour
ZTF21abccaue,243,19,224.0,r,59377.76,59367.4,59381.4,9.0,10.0,True,ok,good for colour
ZTF21abcgaln,482,59,423.0,r,59366.08,59356.4,59477.2,33.0,26.0,True,ok,good for colour
ZTF21abcgnql,203,37,166.0,r,59371.93,59356.9,59401.3,14.0,23.0,True,ok,good for colour
ZTF21abchjer,175,56,119.0,r,59363.4,59357.5,59470.3,35.0,21.0,True,ok,good for colour
ZTF21abcpsjy,357,80,277.0,r,59427.31,59364.3,59473.2,43.0,37.0,True,ok,good for colour
ZTF21abdkojo,105,22,83.0,r,59375.16,59367.2,59393.2,8.0,14.0,True,ok,good for colour
